Date,ANZ.AX,BHP.AX,WTC.AX
2018/7/2,22.779387,24.79011,16.0361
2018/7/3,22.984018,24.384319,15.877131
2018/7/4,23.000389,24.384319,16.185137
2018/7/5,23.2705,24.251516,16.274557
2018/7/6,23.728868,24.458103,16.314299
2018/7/9,23.818907,24.981939,16.155329
2018/7/10,23.573353,25.254925,16.314299
2018/7/11,23.385092,24.922916,16.055973
2018/7/12,23.900757,24.767979,16.979986
2018/7/13,23.745241,24.590908,17.784775
2018/7/16,23.687946,24.399076,17.536379
2018/7/17,23.679762,23.978529,16.940241
2018/7/18,23.753426,24.767979,17.397284
2018/7/19,23.908947,24.797489,17.685415
2018/7/20,24.031723,24.281027,17.804642
2018/7/23,23.835279,23.941641,17.595991
2018/7/24,23.917131,24.354805,17.496639
2018/7/25,23.835279,24.900784,17.089277
2018/7/26,23.745241,24.819622,16.493139
2018/7/27,24.129946,25.380354,17.148893
2018/7/30,23.998983,25.225412,16.453396
2018/7/31,23.982609,25.719742,15.151832
2018/8/1,23.79435,25.882055,14.943181
2018/8/2,23.663389,25.026205,14.446402
2018/8/3,23.44239,24.627794,14.873634
2018/8/6,23.671576,25.159012,14.754407
2018/8/7,23.810724,24.804867,15.012732
2018/8/8,23.589724,25.040962,15.022668
2018/8/9,23.876202,25.055719,15.320737
2018/8/10,23.990797,24.878649,15.261124
2018/8/13,23.876202,24.576149,15.092216
2018/8/14,24.26091,24.952429,15.350543
2018/8/15,24.678352,24.86389,15.489642
2018/8/16,24.604689,24.229382,15.330672
2018/8/17,24.784761,24.155602,15.777774
2018/8/20,24.596502,24.472855,15.519449
2018/8/21,24.154499,24.015419,15.539321
2018/8/22,23.917131,23.668653,19.771896
2018/8/23,23.50787,23.963776,23.57724
2018/8/24,23.327797,24.133471,19.910999
2018/8/27,23.34417,24.406456,20.4972
2018/8/28,23.556984,24.627794,21.043661
2018/8/29,24.089018,24.945051,21.40134
2018/8/30,24.056278,24.922916,21.679537
2018/8/31,24.146317,24.502367,21.222498
2018/9/3,23.908947,24.354805,21.232437
2018/9/4,23.573353,24.406456,21.262241
2018/9/5,23.401461,23.757189,21.490763
2018/9/6,23.352352,23.799622,20.368034
2018/9/7,23.245943,23.723824,20.189196
2018/9/10,23.131353,23.648027,20.785332
2018/9/11,23.393276,23.648027,21.597216
2018/9/12,23.22139,23.572235,20.533262
2018/9/13,22.967649,23.731403,20.652588
2018/9/14,23.041315,24.11796,20.980719
2018/9/17,23.245943,23.95879,21.288971
2018/9/18,23.237759,23.860254,20.652588
2018/9/19,23.458757,24.557568,20.37417
2018/9/20,23.262318,24.838009,20.324453
2018/9/21,23.295057,25.45195,20.781855
2018/9/24,23.393276,25.641439,20.672474
2018/9/25,23.098608,25.846083,20.841511
2018/9/26,22.885796,26.149263,21.259138
2018/9/27,22.746647,26.134104,22.134165
2018/9/28,23.065868,26.247797,21.965126
2018/10/1,22.697536,26.232635,21.458006
2018/10/2,22.501093,26.300854,21.109985
2018/10/3,22.460167,26.588873,20.950891
2018/10/4,22.599312,26.838995,20.463663
2018/10/5,22.689354,26.907213,19.996317
2018/10/8,22.091831,26.149263,19.548862
2018/10/9,21.960869,26.247797,18.494854
2018/10/10,22.001795,26.316015,18.246269
